year_week,WIND_DIRECTION_DEG,WIND_SPEED_MS,BAROMETRIC_PRESSURE_HPA,TEMP_2M_C,RELATIVE_HUMIDITY_PCT,total_ozone,mu,value
1981-W51,194.341317,3.370659,681.498214,7.27381,30.155405,241.8,1.371,340.3425
1981-W52,190.616766,5.988623,679.259524,6.072024,55.821429,245.667,1.37,340.7025
1981-W53,174.934132,3.89521,680.832738,6.625,32.107143,250.25,1.4355,341.0625
1982-W01,214.005988,4.344311,680.027381,4.816667,50.626506,256,1.3644,340.8025
1982-W02,191.940476,3.845833,679.35,5.9,44.596386,243.8,1.3266,343.7735
1982-W03,192.875,4.969048,678.714286,4.754167,71.982143,250.667,1.435333,341.17
1982-W04,221,3.930357,678.277381,3.474242,51.535714,245.6,1.3362,341.8343333
1982-W05,237.202381,7.442262,675.551786,4.752055,28.138554,234,1.26575,342.69575
1982-W06,220.96988,14.193373,675.202381,3.399242,61.431373,261,1.242,342.46
1982-W07,187.654762,4.760714,682.691667,6.870807,36.066667,262.53,1.187378,341.6
1982-W08,219.60479,5.798802,677.085119,3.642069,52.755952,256.667,1.154667,342.4925
1982-W09,226.565476,3.375595,680.28631,4.330719,45.627119,281.4,1.201,343.60325
1982-W10,211.023952,4.886826,678.467262,4.063473,61.380952,272,1.142,343.23925
1982-W11,223.184524,3.341071,678.982143,4.327815,70.574194,268,1.261667,344.3643333
1982-W12,216.341317,3.125749,678.449405,3.348739,81.451923,286.333,1.132,343.985
1982-W13,240.916168,3.975449,680.220833,4.232738,78.733766,274.667,1.237333,343.3533333
1982-W14,258.928144,6.882635,678.764286,5.88024,54.767606,278,1.054333,343.475
1982-W15,237.156627,3.748795,681.341071,5.760714,65.184524,284.75,1.10625,343.58075
1982-W16,236.772455,3.528144,678.833333,4.912727,45.42069,286.6,1.1942,344.76575
1982-W17,164.767857,3.632143,682.1,8.45,29.790123,284.286,1.017714,344.4166
1982-W18,202.036145,2.941566,681.236905,6.571084,46.097222,280.4,1.1428,343.7725
1982-W19,113.26506,4.03494,681.163095,8.695181,49.60177,286,1.03025,343.26425
1982-W20,140.933333,4.033939,681.246429,7.619048,18.06,280.8,1.1818,344.4523333
1982-W21,172.712575,3.040719,680.128571,6.24759,34.379518,277.6,1.2026,343.6225
